,distance,distance,nbJourney,time,time,distance/time
,mean,std,sum,mean,std,
mode,,,,,,
bus,"0,95","1,74",18,"0,09","0,15","10,56"
car,"11,21","7,06",44,"0,36","0,18","31,14"
rail,"15,09","10,2",33,"0,33","0,23","45,73"
subway,"0,7","1,41",12,"0,03","0,07","23,33"
waiting,"0,0","0,0",0,"0,07","0,08","0,0"
walking,"0,51","0,32",43,"0,16","0,1","3,19"
