id_journey;id_leg;legMode;date;startTime;endTime;x_origin;y_origin;x_dest;y_dest;legStartTime;legEndTime;legDepartureDelay;legArrivalDelay;legDistance;legInterlineWithPreviousLeg;legDuration;legStopIdOrigin;legOrigName;x_legOrigin;y_legOrigin;legStopIdDest;legDestName;x_legDest;y_legDest;transitLeg;route;agencyName;tripshortName;headsign
4;2;RAIL;20181029T080000;20181029T080657;20181029T090516;2.42111;48.65497;2.38266;48.87826;20181029T082200;20181029T084100;0;0;16975;0;1140;stop_point:8768182:800:D;GARE DE VILLENEUVE ST GEORGES (Villeneuve-Saint-Georges);2.446136;48.730117;stop_point:8775860:800:D;CHATELET LES HALLES (Paris);2.446136;48.730117;True;D;RER;GARE DE GOUSSAINVILLE;GARE DE GOUSSAINVILLE (Goussainville)
4;3;WALK;20181029T080000;20181029T080657;20181029T090516;2.42111;48.65497;2.38266;48.87826;20181029T084100;20181029T084653;0;0;0;0;353;stop_point:8775860:800:D;CHATELET LES HALLES (Paris);2.347013;48.861822;stop_point:59641;Châtelet (Paris);2.347013;48.861822;False;;;;
4;4;WALK;20181029T080000;20181029T080657;20181029T090516;2.42111;48.65497;2.38266;48.87826;20181029T084653;20181029T084700;0;0;0;0;7;;;;;;;;;;;;;
4;5;SUBWAY;20181029T080000;20181029T080657;20181029T090516;2.42111;48.65497;2.38266;48.87826;20181029T084700;20181029T085500;0;0;3532;0;480;stop_point:59641;Châtelet (Paris);2.347788;48.85886;stop_point:59402;Pyrénées (Paris);2.347788;48.85886;True;11;METRO;Mairie des Lilas;Mairie des Lilas (Les Lilas)
4;6;WALK;20181029T080000;20181029T080657;20181029T090516;2.42111;48.65497;2.38266;48.87826;20181029T085500;20181029T090516;0;0;689;0;616;;;2.38494;48.87377;;38 Rue du Plateau (Paris);2.38494;48.87377;False;;;;
5;1;CAR;20181029T080000;20181029T080657;20181029T092148;2.42111;48.65497;2.38266;48.87826;20181029T080657;20181029T082200;0;0;10890;0;903;;Chemin de la Sous-Station (Ris-Orangis);2.42111;48.65497;;;2.42111;48.65497;False;;;;
5;2;RAIL;20181029T080000;20181029T080657;20181029T092148;2.42111;48.65497;2.38266;48.87826;20181029T082200;20181029T084500;0;0;19208;0;1380;stop_point:8768182:800:D;GARE DE VILLENEUVE ST GEORGES (Villeneuve-Saint-Georges);2.446136;48.730117;stop_point:8727102:800:D;GARE DU NORD RER (Paris);2.446136;48.730117;True;D;RER;GARE DE GOUSSAINVILLE;GARE DE GOUSSAINVILLE (Goussainville)
5;3;WALK;20181029T080000;20181029T080657;20181029T092148;2.42111;48.65497;2.38266;48.87826;20181029T084500;20181029T085042;0;0;0;0;342;stop_point:8727102:800:D;GARE DU NORD RER (Paris);2.357115;48.880769;stop_point:59:3666564;GARE DU NORD (Paris);2.357115;48.880769;False;;;;
5;4;WALK;20181029T080000;20181029T080657;20181029T092148;2.42111;48.65497;2.38266;48.87826;20181029T085042;20181029T085700;0;0;0;0;378;;;;;;;;;;;;;
5;5;BUS;20181029T080000;20181029T080657;20181029T092148;2.42111;48.65497;2.38266;48.87826;20181029T085700;20181029T091200;0;0;2755;0;900;stop_point:59:3666564;GARE DU NORD (Paris);2.358013;48.880833;stop_point:59:3749753;BOTZARIS (Paris);2.358013;48.880833;True;48;RATP;PORTE DES LILAS;PORTE DES LILAS (Paris)
5;6;WALK;20181029T080000;20181029T080657;20181029T092148;2.42111;48.65497;2.38266;48.87826;20181029T091200;20181029T092148;0;0;657;0;588;;;2.38978;48.87934;;38 Rue du Plateau (Paris);2.38978;48.87934;False;;;;
6;1;CAR;20181029T080000;20181029T080657;20181029T092433;2.42111;48.65497;2.38266;48.87826;20181029T080657;20181029T082200;0;0;10890;0;903;;Chemin de la Sous-Station (Ris-Orangis);2.42111;48.65497;;;2.42111;48.65497;False;;;;
6;2;RAIL;20181029T080000;20181029T080657;20181029T092433;2.42111;48.65497;2.38266;48.87826;20181029T082200;20181029T084100;0;0;16975;0;1140;stop_point:8768182:800:D;GARE DE VILLENEUVE ST GEORGES (Villeneuve-Saint-Georges);2.446136;48.730117;stop_point:8775860:800:D;CHATELET LES HALLES (Paris);2.446136;48.730117;True;D;RER;GARE DE GOUSSAINVILLE;GARE DE GOUSSAINVILLE (Goussainville)
6;3;WALK;20181029T080000;20181029T080657;20181029T092433;2.42111;48.65497;2.38266;48.87826;20181029T084100;20181029T084800;0;0;0;0;420;stop_point:8775860:800:D;CHATELET LES HALLES (Paris);2.347013;48.861822;stop_point:59:4459252;CHATELET (Paris);2.347013;48.861822;False;;;;
6;4;WALK;20181029T080000;20181029T080657;20181029T092433;2.42111;48.65497;2.38266;48.87826;20181029T084800;20181029T085300;0;0;0;0;300;;;;;;;;;;;;;
6;5;BUS;20181029T080000;20181029T080657;20181029T092433;2.42111;48.65497;2.38266;48.87826;20181029T085300;20181029T091800;0;0;3992;0;1500;stop_point:59:4459252;CHATELET (Paris);2.348278;48.856784;stop_point:59:3926410;SECRETAN - BUTTES CHAUMONT (Paris);2.348278;48.856784;True;75;RATP;PORTE DE PANTIN;PORTE DE PANTIN (Paris)
6;6;WALK;20181029T080000;20181029T080657;20181029T092433;2.42111;48.65497;2.38266;48.87826;20181029T091800;20181029T092433;0;0;437;0;393;;;2.37799;48.87883;;38 Rue du Plateau (Paris);2.37799;48.87883;False;;;;
1;1;CAR;20181029T180000;20181029T180000;20181029T182237;2.38575;48.99779;2.38541;48.90084;20181029T180000;20181029T182237;0;0;19222;0;1357;;Avenue de la Pépinière (Sarcelles);2.38575;48.99779;;Sente à Bigot (Paris);2.38575;48.99779;False;;;;
2;1;CAR;20181029T180000;20181029T180720;20181029T183021;2.38575;48.99779;2.38541;48.90084;20181029T180720;20181029T182500;0;0;13074;0;1060;;Avenue de la Pépinière (Sarcelles);2.38575;48.99779;;;2.38575;48.99779;False;;;;
2;2;BUS;20181029T180000;20181029T180720;20181029T183021;2.38575;48.99779;2.38541;48.90084;20181029T182500;20181029T182800;0;0;971;0;180;stop_point:59:5355353;VICTOR HUGO - FELIX FAURE (Aubervilliers);2.378379;48.908157;stop_point:59:5355347;PLACE AUGUSTE BARON (Paris);2.378379;48.908157;True;139;RATP;PORTE DE LA VILLETTE;PORTE DE LA VILLETTE (Paris)
2;3;WALK;20181029T180000;20181029T180720;20181029T183021;2.38575;48.99779;2.38541;48.90084;20181029T182800;20181029T183021;0;0;158;0;141;;;2.38621;48.90112;;Sente à Bigot (Paris);2.38621;48.90112;False;;;;
1;1;CAR;20181029T080000;20181029T080039;20181029T082445;2.26971;48.77321;2.30267;48.85618;20181029T080039;20181029T081900;0;0;9520.128930466912;0;1101;;Rue Eugène Sinet (Châtenay-Malabry);2.26971;48.77321;stop_point:59393;La Motte-Picquet-Grenelle (Paris);2.26971;48.77321;False;;;;
1;2;SUBWAY;20181029T080000;20181029T080039;20181029T082445;2.26971;48.77321;2.30267;48.85618;20181029T081900;20181029T082000;0;0;830;0;60;stop_point:59393;La Motte-Picquet-Grenelle (Paris);2.297712;48.848806;stop_point:59470;Ecole Militaire (Paris);2.297712;48.848806;True;8;METRO;Pointe du Lac;Pointe du Lac (Créteil)
1;3;WALK;20181029T080000;20181029T080039;20181029T082445;2.26971;48.77321;2.30267;48.85618;20181029T082000;20181029T082445;0;0;319;0;285;;;2.30546;48.85426;;85 Avenue de la Bourdonnais (Paris);2.30546;48.85426;False;;;;
2;1;CAR;20181029T080000;20181029T080139;20181029T082527;2.26971;48.77321;2.30267;48.85618;20181029T080139;20181029T082200;0;0;10558.969421438002;0;1221;;Rue Eugène Sinet (Châtenay-Malabry);2.26971;48.77321;stop_point:59:3687112;RAPP - LA BOURDONNAIS (Paris);2.26971;48.77321;False;;;;
2;2;BUS;20181029T080000;20181029T080139;20181029T082527;2.26971;48.77321;2.30267;48.85618;20181029T082200;20181029T082400;0;0;295;0;120;stop_point:59:3687112;RAPP - LA BOURDONNAIS (Paris);2.299967;48.857183;stop_point:59:3813048;CHAMP DE MARS - LA BOURDONNAIS (Paris);2.299967;48.857183;True;87;RATP;PORTE DE REUILLY;PORTE DE REUILLY (Paris)
2;3;WALK;20181029T080000;20181029T080139;20181029T082527;2.26971;48.77321;2.30267;48.85618;20181029T082400;20181029T082527;0;0;98;0;87;;;2.30327;48.85563;;85 Avenue de la Bourdonnais (Paris);2.30327;48.85563;False;;;;
3;1;CAR;20181029T080000;20181029T080000;20181029T083015;2.26971;48.77321;2.30267;48.85618;20181029T080000;20181029T083015;0;0;21564;0;1815;;Rue Eugène Sinet (Châtenay-Malabry);2.26971;48.77321;;85 Avenue de la Bourdonnais (Paris);2.26971;48.77321;False;;;;
1;1;CAR;20181029T080000;20181029T080000;20181029T082840;2.19375;48.71342;2.39639;48.81410;20181029T080000;20181029T082840;0;0;28165;0;1720;;Chemin de Corbeville à la Vauve (Palaiseau) (Orsay);2.19375;48.71342;;7 Rue Denis Papin (Ivry-sur-Seine);2.19375;48.71342;False;;;;
2;1;CAR;20181029T080000;20181029T080054;20181029T085416;2.19375;48.71342;2.39639;48.81410;20181029T080054;20181029T081300;0;0;11034;0;726;;Chemin de Corbeville à la Vauve (Palaiseau) (Orsay);2.19375;48.71342;;;2.19375;48.71342;False;;;;
2;2;RAIL;20181029T080000;20181029T080054;20181029T085416;2.19375;48.71342;2.39639;48.81410;20181029T081300;20181029T082600;0;0;7449;0;780;stop_point:8739363:800:C;GARE DE CHILLY MAZARIN (Chilly-Mazarin);2.307841;48.700681;stop_point:8754524:800:C;GARE DE JUVISY (Juvisy-sur-Orge);2.307841;48.700681;True;C;RER;GARE DE VERSAILLES CHATEAU - RIVE GAUCHE;GARE DE VERSAILLES CHATEAU - RIVE GAUCHE (Versailles)
2;3;WALK;20181029T080000;20181029T080054;20181029T085416;2.19375;48.71342;2.39639;48.81410;20181029T082600;20181029T083000;0;0;0;0;240;;;;;;;;;;;;;
2;4;RAIL;20181029T080000;20181029T080054;20181029T085416;2.19375;48.71342;2.39639;48.81410;20181029T083000;20181029T084100;0;0;15625;0;660;stop_point:8754524:800:C;GARE DE JUVISY (Juvisy-sur-Orge);2.383139;48.689457;stop_point:8732832:800:C;BIBLIOTHEQUE F. MITTERRAND (Paris);2.383139;48.689457;True;C;RER;GARE DE ST QUENTIN EN YVELINES;GARE DE ST QUENTIN EN YVELINES (Montigny-le-Bretonneux)
2;5;WALK;20181029T080000;20181029T080054;20181029T085416;2.19375;48.71342;2.39639;48.81410;20181029T084100;20181029T084600;0;0;0;0;300;;;;;;;;;;;;;
2;6;RAIL;20181029T080000;20181029T080054;20181029T085416;2.19375;48.71342;2.39639;48.81410;20181029T084600;20181029T084800;0;0;2080;0;120;stop_point:8732832:800:C;BIBLIOTHEQUE F. MITTERRAND (Paris);2.376696;48.829875;stop_point:8754530:800:C;GARE D'IVRY SUR SEINE (Ivry-sur-Seine);2.376696;48.829875;True;C;RER;GARE DE MASSY PALAISEAU RER C;GARE DE MASSY PALAISEAU RER C (Massy)
