None;x_origin;y_origin;x_dest;y_dest;id_journey;legMode;transitLeg;legDistance;legDuration
None;;;;;;;<lambda>;legDistance;legDuration
62;2.04208;48.77882;2.33391;48.87104;1;CAR;0;30.659;31.616666666666667
63;2.04208;48.77882;2.33391;48.87104;2;CAR;0;17.523;15.566666666666666
64;2.04208;48.77882;2.33391;48.87104;2;RAIL;2;15.061;19.0
65;2.04208;48.77882;2.33391;48.87104;2;WALK;0;0.383;11.75
66;2.04208;48.77882;2.33391;48.87104;3;CAR;0;20.154;22.75
67;2.04208;48.77882;2.33391;48.87104;3;RAIL;1;16.859;23.0
68;2.04208;48.77882;2.33391;48.87104;3;WALK;0;0.383;5.75
69;2.04208;48.77882;2.33391;48.87104;4;CAR;0;17.523;15.566666666666666
70;2.04208;48.77882;2.33391;48.87104;4;RAIL;1;15.8;25.0
71;2.04208;48.77882;2.33391;48.87104;4;WALK;0;0.124;6.85
72;2.04208;48.77882;2.33391;48.87104;4;SUBWAY;1;0.736;3.0
73;2.04208;48.77882;2.33391;48.87104;5;CAR;0;1.397;5.466666666666667
74;2.04208;48.77882;2.33391;48.87104;5;RAIL;1;24.361;42.0
75;2.04208;48.77882;2.33391;48.87104;5;WALK;0;0.323;13.866666666666667
76;2.04208;48.77882;2.33391;48.87104;5;BUS;2;1.512;8.0
77;2.04208;48.77882;2.33391;48.87104;6;CAR;0;20.671;17.616666666666667
78;2.04208;48.77882;2.33391;48.87104;6;BUS;1;10.448;53.0
79;2.04208;48.77882;2.33391;48.87104;6;WALK;0;0.323;4.866666666666666
80;2.68684;48.86155;2.3085;48.87465;1;CAR;0;36.945;35.7
81;2.68684;48.86155;2.3085;48.87465;2;CAR;0;21.998;17.216666666666665
82;2.68684;48.86155;2.3085;48.87465;2;RAIL;1;12.367;18.0
83;2.68684;48.86155;2.3085;48.87465;2;WALK;0;0.084;7.25
84;2.68684;48.86155;2.3085;48.87465;2;BUS;1;1.816;10.0
85;2.68684;48.86155;2.3085;48.87465;3;CAR;0;21.998;17.216666666666665
86;2.68684;48.86155;2.3085;48.87465;3;RAIL;1;14.97;21.0
