None;legMode;transitLeg;transitLeg;legDistance;legDistance;legDuration;legDuration
None;;median;std;mean;std;mean;std
0;CAR;0;0.0;14.533155371141245;10.219327625214511;17.15425531914894;10.063814182244606
1;RAIL;1;0.5884186937375333;20.011999999999997;4.525225121471859;27.129032258064516;7.623393537805723
2;WALK;0;0.0;0.3119549579091966;0.16852734337844463;11.859459459459464;5.583244251003745
3;SUBWAY;1;0.38924947208076144;3.705833333333333;3.0894828291342145;9.416666666666666;8.511578566691945
4;BUS;1;0.4277926319464986;3.1371111111111114;2.6792424278008338;16.11111111111111;14.879472195291658
