None;date;walkTime;walkTime;walkDistance;walkDistance;id_journey;waitingTime;waitingTime;duration;duration;transitTime;transitTime
None;;mean;std;mean;std;count;mean;std;mean;std;mean;std
0;20181029T180000;12.756666666666666;9.08823286498465;0.50485;0.49371249624388525;20;3.3291666666666666;3.4514166724380915;89.21333333333334;30.88125607238454;49.9;31.664191962397823
1;20181029T080000;7.384615384615385;6.319269697969024;0.22507692307692306;0.2098239188535876;13;6.274358974358974;12.676254805637031;76.63076923076923;39.43042034309359;39.92307692307692;36.61844147980982
