"requestId","journeyId","mode","distance","time","nbTransit","nbJourney"
"Banlieue-Banlieue5.json",2,"walking",1227,1292,0,1
"Banlieue-Banlieue5.json",2,"car",13908,1552,0,1
"Banlieue-Banlieue5.json",2,"rail",39058,3180,1,1
"Banlieue-Banlieue5.json",2,"waiting",0,504,0,0
"Banlieue-Banlieue5.json",2,"subway",0,0,0,0
"Banlieue-Banlieue5.json",2,"bus",1849,540,1,1
"Banlieue-Banlieue5.json",3,"walking",783,780,0,1
"Banlieue-Banlieue5.json",3,"car",13908,1552,0,1
"Banlieue-Banlieue5.json",3,"rail",39058,3180,1,1
"Banlieue-Banlieue5.json",3,"waiting",0,728,0,0
"Banlieue-Banlieue5.json",3,"subway",0,0,0,0
"Banlieue-Banlieue5.json",3,"bus",2130,360,1,1
"Banlieue-Banlieue5.json",4,"walking",528,677,0,1
"Banlieue-Banlieue5.json",4,"car",9372,1144,0,1
"Banlieue-Banlieue5.json",4,"rail",44639,3600,1,1
"Banlieue-Banlieue5.json",4,"waiting",0,744,0,0
"Banlieue-Banlieue5.json",4,"subway",0,0,0,0
"Banlieue-Banlieue5.json",4,"bus",2832,840,1,1
"Banlieue-Banlieue5.json",5,"walking",479,632,0,1
"Banlieue-Banlieue5.json",5,"car",8710,1084,0,1
"Banlieue-Banlieue5.json",5,"rail",48597,3840,1,1
"Banlieue-Banlieue5.json",5,"waiting",0,744,0,0
"Banlieue-Banlieue5.json",5,"subway",0,0,0,0
"Banlieue-Banlieue5.json",5,"bus",2542,780,1,1
"Banlieue-Banlieue5.json",6,"walking",524,925,0,1
"Banlieue-Banlieue5.json",6,"car",3699,633,0,1
"Banlieue-Banlieue5.json",6,"rail",44639,3600,1,1
"Banlieue-Banlieue5.json",6,"waiting",0,1308,0,0
"Banlieue-Banlieue5.json",6,"subway",0,0,0,0
"Banlieue-Banlieue5.json",6,"bus",8786,1740,2,1
"Banlieue-Banlieue5.json",7,"walking",375,705,0,1
"Banlieue-Banlieue5.json",7,"car",4099,670,0,1
"Banlieue-Banlieue5.json",7,"rail",53760,4080,1,1
"Banlieue-Banlieue5.json",7,"waiting",0,1698,0,0
"Banlieue-Banlieue5.json",7,"subway",0,0,0,0
"Banlieue-Banlieue5.json",7,"bus",8937,1920,2,1
"Banlieue-Banlieue5.json",8,"walking",409,569,0,1
"Banlieue-Banlieue5.json",8,"car",8710,1084,0,1
"Banlieue-Banlieue5.json",8,"rail",48597,3840,1,1
"Banlieue-Banlieue5.json",8,"waiting",0,744,0,0
"Banlieue-Banlieue5.json",8,"subway",0,0,0,0
"Banlieue-Banlieue5.json",8,"bus",3596,1020,1,1
"Banlieue-Banlieue5.json",9,"walking",305,642,0,1
"Banlieue-Banlieue5.json",9,"car",4099,670,0,1
"Banlieue-Banlieue5.json",9,"rail",53760,4080,1,1
"Banlieue-Banlieue5.json",9,"waiting",0,1698,0,0
"Banlieue-Banlieue5.json",9,"subway",0,0,0,0
"Banlieue-Banlieue5.json",9,"bus",9991,2160,2,1
"Banlieue-Banlieue6.json",1,"walking",588,1084,0,1
"Banlieue-Banlieue6.json",1,"car",15624,1707,0,1
"Banlieue-Banlieue6.json",1,"rail",37791,2820,2,1
"Banlieue-Banlieue6.json",1,"waiting",0,1032,0,0
"Banlieue-Banlieue6.json",1,"subway",0,0,0,0
"Banlieue-Banlieue6.json",1,"bus",1931,360,1,1
"Banlieue-Banlieue6.json",2,"walking",530,1216,0,1
"Banlieue-Banlieue6.json",2,"car",7510,976,0,1
"Banlieue-Banlieue6.json",2,"rail",43872,3360,3,1
"Banlieue-Banlieue6.json",2,"waiting",0,1269,0,0
"Banlieue-Banlieue6.json",2,"subway",0,0,0,0
"Banlieue-Banlieue6.json",2,"bus",1931,360,1,1
"Banlieue-Banlieue6.json",3,"walking",450,943,0,1
"Banlieue-Banlieue6.json",3,"car",15624,1707,0,1
"Banlieue-Banlieue6.json",3,"rail",39054,2940,2,1
"Banlieue-Banlieue6.json",3,"waiting",0,552,0,0
"Banlieue-Banlieue6.json",3,"subway",0,0,0,0
"Banlieue-Banlieue6.json",3,"bus",5064,1200,1,1
"Banlieue-Banlieue6.json",4,"walking",392,1075,0,1
"Banlieue-Banlieue6.json",4,"car",7510,976,0,1
"Banlieue-Banlieue6.json",4,"rail",45135,3480,3,1
"Banlieue-Banlieue6.json",4,"waiting",0,789,0,0
"Banlieue-Banlieue6.json",4,"subway",0,0,0,0
"Banlieue-Banlieue6.json",4,"bus",5064,1200,1,1
"Banlieue-Banlieue6.json",5,"walking",1374,1279,0,1
"Banlieue-Banlieue6.json",5,"car",15624,1707,0,1
"Banlieue-Banlieue6.json",5,"rail",34147,2640,1,1
"Banlieue-Banlieue6.json",5,"waiting",0,281,0,0
"Banlieue-Banlieue6.json",5,"subway",0,0,0,0
"Banlieue-Banlieue6.json",5,"bus",7516,1800,1,1
"Banlieue-Banlieue6.json",6,"walking",1316,1411,0,1
"Banlieue-Banlieue6.json",6,"car",7510,976,0,1
"Banlieue-Banlieue6.json",6,"rail",40228,3180,2,1
"Banlieue-Banlieue6.json",6,"waiting",0,518,0,0
"Banlieue-Banlieue6.json",6,"subway",0,0,0,0
"Banlieue-Banlieue6.json",6,"bus",7516,1800,1,1
"Banlieue-Banlieue10.json",1,"walking",432,1124,0,1
"Banlieue-Banlieue10.json",1,"car",13806,1543,0,1
"Banlieue-Banlieue10.json",1,"rail",30843,2400,3,1
"Banlieue-Banlieue10.json",1,"waiting",0,1206,0,0
"Banlieue-Banlieue10.json",1,"subway",0,0,0,0
"Banlieue-Banlieue10.json",1,"bus",2509,600,1,1
"Banlieue-Banlieue10.json",2,"walking",1087,1345,0,1
"Banlieue-Banlieue10.json",2,"car",3523,617,0,1
"Banlieue-Banlieue10.json",2,"rail",19160,1020,2,1
"Banlieue-Banlieue10.json",2,"waiting",0,792,0,0
"Banlieue-Banlieue10.json",2,"subway",12834,1740,1,1
"Banlieue-Banlieue10.json",2,"bus",6276,1680,1,1
"Banlieue-Banlieue10.json",3,"walking",1216,1461,0,1
"Banlieue-Banlieue10.json",3,"car",8400,1056,0,1
"Banlieue-Banlieue10.json",3,"rail",14441,780,1,1
"Banlieue-Banlieue10.json",3,"waiting",0,552,0,0
"Banlieue-Banlieue10.json",3,"subway",12834,1740,1,1
"Banlieue-Banlieue10.json",3,"bus",6276,1680,1,1
"Banlieue-Banlieue10.json",4,"walking",497,1187,0,1
"Banlieue-Banlieue10.json",4,"car",1221,410,0,1
"Banlieue-Banlieue10.json",4,"rail",44115,3660,3,1
"Banlieue-Banlieue10.json",4,"waiting",0,781,0,0
"Banlieue-Banlieue10.json",4,"subway",0,0,0,0
"Banlieue-Banlieue10.json",4,"bus",2509,660,1,1
"Banlieue-Banlieue10.json",5,"walking",456,876,0,1
"Banlieue-Banlieue10.json",5,"car",13586,1523,0,1
"Banlieue-Banlieue10.json",5,"rail",40442,3540,2,1
"Banlieue-Banlieue10.json",5,"waiting",0,1056,0,0
"Banlieue-Banlieue10.json",5,"subway",0,0,0,0
"Banlieue-Banlieue10.json",5,"bus",2509,660,1,1
"Banlieue-Banlieue10.json",6,"walking",497,1164,0,1
"Banlieue-Banlieue10.json",6,"car",1221,410,0,1
"Banlieue-Banlieue10.json",6,"rail",41045,4080,3,1
"Banlieue-Banlieue10.json",6,"waiting",0,1524,0,0
"Banlieue-Banlieue10.json",6,"subway",0,0,0,0
"Banlieue-Banlieue10.json",6,"bus",2509,660,1,1
"Banlieue-Banlieue10.json",7,"walking",1835,1865,0,1
"Banlieue-Banlieue10.json",7,"car",15529,1698,0,1
"Banlieue-Banlieue10.json",7,"rail",40674,3420,2,1
"Banlieue-Banlieue10.json",7,"waiting",0,588,0,0
"Banlieue-Banlieue10.json",7,"subway",0,0,0,0
"Banlieue-Banlieue10.json",7,"bus",0,0,0,0
"Banlieue-Banlieue10.json",8,"walking",1473,1689,0,1
"Banlieue-Banlieue10.json",8,"car",3754,638,0,1
"Banlieue-Banlieue10.json",8,"rail",23022,2040,1,1
"Banlieue-Banlieue10.json",8,"waiting",0,912,0,0
"Banlieue-Banlieue10.json",8,"subway",12834,1740,1,1
"Banlieue-Banlieue10.json",8,"bus",5599,1560,1,1
"Banlieue-Banlieue10.json",9,"walking",1528,1738,0,1
"Banlieue-Banlieue10.json",9,"car",1221,410,0,1
"Banlieue-Banlieue10.json",9,"rail",22897,2220,1,1
"Banlieue-Banlieue10.json",9,"waiting",0,912,0,0
"Banlieue-Banlieue10.json",9,"subway",12834,1740,1,1
"Banlieue-Banlieue10.json",9,"bus",5599,1740,1,1
"Banlieue-Banlieue10.json",10,"walking",1514,1653,0,1
"Banlieue-Banlieue10.json",10,"car",15529,1698,0,1
"Banlieue-Banlieue10.json",10,"rail",35474,3000,1,1
"Banlieue-Banlieue10.json",10,"waiting",0,324,0,0
"Banlieue-Banlieue10.json",10,"subway",0,0,0,0
"Banlieue-Banlieue10.json",10,"bus",8356,2400,1,1
"Banlieue-Banlieue10.json",11,"walking",1519,1494,0,1
