,distance,distance,nbJourney,time,time,distance/time
,mean,std,,mean,std,
mode,,,,,,
bus,"4,45","3,259",20,"0,21","8,77","20,89"
car,"12,15","1,512",20,"0,33","1,47","36,47"
rail,"22,18","6,438",17,"0,49","8,74","45,42"
subway,"5,33","4,026",6,"0,21","9,92","25,16"
waiting,0,0,0,"0,00",0,#DIV/0 !
walking,"0,28","0,2",20,"0,07","2,68","4,27"
,"7,40",,,"0,22","33,8381400076229",
